quiet,active,jailed,,,,,"{
861,36,223,,,,,,,,
841,30,249,,,,,,,,
833,26,261,,,,,,,,
837,23,260,,,,,,,,
840,8,272,,,,,,,,
858,0,262,,,,,,,,
863,3,254,,,,,,,,
881,0,239,,,,,,,,
888,0,232,,,,,,,,
898,0,222,,,,,,,,
904,0,216,,,,,,,,
921,0,199,,,,,,,,
935,3,182,,,,,,,,
946,3,171,,,,,,,,
953,2,165,,,,,,,,
955,5,160,,,,,,,,
908,34,178,,,,,,,,
868,54,198,,,,,,,,
826,63,231,,,,,,,,
812,49,259,,,,,,,,
799,37,284,,,,,,,,
828,9,283,,,,,,,,
840,5,275,,,,,,,,
857,0,263,,,,,,,,
864,5,251,,,,,,,,
875,4,241,,,,,,,,
902,1,217,,,,,,,,
918,0,202,,,,,,,,
930,0,190,,,,,,,,
943,1,176,,,,,,,,
943,7,170,,,,,,,,
941,7,172,,,,,,,,
917,20,183,,,,,,,,
921,8,191,,,,,,,,
917,14,189,,,,,,,,
913,17,190,,,,,,,,
921,8,191,,,,,,,,
902,25,193,,,,,,,,
879,32,209,,,,,,,,
877,20,223,,,,,,,,
876,13,231,,,,,,,,
871,16,233,,,,,,,,
884,3,233,,,,,,,,
886,3,231,,,,,,,,
903,0,217,,,,,,,,
923,4,193,,,,,,,,
917,14,189,,,,,,,,
907,20,193,,,,,,,,
904,17,199,,,,,,,,
909,11,200,,,,,,,,
924,4,192,,,,,,,,
943,1,176,,,,,,,,
953,2,165,,,,,,,,
957,2,161,,,,,,,,
965,0,155,,,,,,,,
973,2,145,,,,,,,,
982,1,137,,,,,,,,
976,7,137,,,,,,,,
978,3,139,,,,,,,,
996,1,123,,,,,,,,
991,8,121,,,,,,,,
955,35,130,,,,,,,,
880,79,161,,,,,,,,
815,108,197,,,,,,,,
753,124,243,,,,,,,,
769,66,285,,,,,,,,
791,31,298,,,,,,,,
814,3,303,,,,,,,,
821,7,292,,,,,,,,
843,2,275,,,,,,,,
852,2,266,,,,,,,,
874,1,245,,,,,,,,
884,0,236,,,,,,,,
900,0,220,,,,,,,,
912,0,208,,,,,,,,
925,1,194,,,,,,,,
906,18,196,,,,,,,,
884,26,210,,,,,,,,
888,8,224,,,,,,,,
902,6,212,,,,,,,,
911,3,206,,,,,,,,
910,7,203,,,,,,,,
933,0,187,,,,,,,,
924,9,187,,,,,,,,
885,45,190,,,,,,,,
859,55,206,,,,,,,,
868,27,225,,,,,,,,
876,8,236,,,,,,,,
905,0,215,,,,,,,,
904,9,207,,,,,,,,
887,21,212,,,,,,,,
915,0,205,,,,,,,,
919,5,196,,,,,,,,
927,9,184,,,,,,,,
921,11,188,,,,,,,,
921,9,190,,,,,,,,
930,3,187,,,,,,,,
935,0,185,,,,,,,,
947,0,173,,,,,,,,
957,1,162,,,,,,,,
966,0,154,,,,,,,,
973,0,147,,,,,,,,
979,1,140,,,,,,,,
980,5,135,,,,,,,,
911,55,154,,,,,,,,
850,78,192,,,,,,,,
809,80,231,,,,,,,,
800,63,257,,,,,,,,
810,29,281,,,,,,,,
825,5,290,,,,,,,,
837,2,281,,,,,,,,
852,0,268,,,,,,,,
872,0,248,,,,,,,,
889,0,231,,,,,,,,
909,0,211,,,,,,,,
908,6,206,,,,,,,,
902,10,208,,,,,,,,
887,21,212,,,,,,,,
867,29,224,,,,,,,,
866,21,233,,,,,,,,
885,1,234,,,,,,,,
895,0,225,,,,,,,,
902,3,215,,,,,,,,
918,1,201,,,,,,,,
924,2,194,,,,,,,,
919,16,185,,,,,,,,
914,21,185,,,,,,,,
909,10,201,,,,,,,,
929,0,191,,,,,,,,
928,9,183,,,,,,,,
955,1,164,,,,,,,,
968,0,152,,,,,,,,
986,0,134,,,,,,,,
992,5,123,,,,,,,,
970,30,120,,,,,,,,
908,67,145,,,,,,,,
791,134,195,,,,,,,,
744,131,245,,,,,,,,
741,95,284,,,,,,,,
764,46,310,,,,,,,,
787,13,320,,,,,,,,
810,2,308,,,,,,,,
824,0,296,,,,,,,,
845,2,273,,,,,,,,
859,1,260,,,,,,,,
874,0,246,,,,,,,,
884,1,235,,,,,,,,
882,8,230,,,,,,,,
886,11,223,,,,,,,,
899,2,219,,,,,,,,
919,0,201,,,,,,,,
928,0,192,,,,,,,,
933,0,187,,,,,,,,
941,0,179,,,,,,,,
941,8,171,,,,,,,,
910,32,178,,,,,,,,
825,74,221,,,,,,,,
804,65,251,,,,,,,,
821,30,269,,,,,,,,
838,7,275,,,,,,,,
854,3,263,,,,,,,,
873,0,247,,,,,,,,
893,0,227,,,,,,,,
912,0,208,,,,,,,,
923,0,197,,,,,,,,
940,0,180,,,,,,,,
954,0,166,,,,,,,,
960,2,158,,,,,,,,
964,5,151,,,,,,,,
910,39,171,,,,,,,,
863,56,201,,,,,,,,
842,45,233,,,,,,,,
856,20,244,,,,,,,,
847,18,255,,,,,,,,
846,16,258,,,,,,,,
859,7,254,,,,,,,,
884,0,236,,,,,,,,
897,0,223,,,,,,,,
911,0,209,,,,,,,,
926,0,194,,,,,,,,
936,0,184,,,,,,,,
929,8,183,,,,,,,,
948,0,172,,,,,,,,
962,0,158,,,,,,,,
974,0,146,,,,,,,,
974,8,138,,,,,,,,
979,7,134,,,,,,,,
991,0,129,,,,,,,,
1004,0,116,,,,,,,,
1001,6,113,,,,,,,,
885,96,139,,,,,,,,
798,133,189,,,,,,,,
736,139,245,,,,,,,,
728,104,288,,,,,,,,
744,51,325,,,,,,,,
774,16,330,,,,,,,,
801,1,318,,,,,,,,
814,0,306,,,,,,,,
829,1,290,,,,,,,,
844,3,273,,,,,,,,
859,0,261,,,,,,,,
884,0,236,,,,,,,,
888,3,229,,,,,,,,
894,3,223,,,,,,,,
897,8,215,,,,,,,,
887,13,220,,,,,,,,
888,14,218,,,,,,,,
906,5,209,,,,,,,,
909,6,205,,,,,,,,
887,24,209,,,,,,,,
882,25,213,,,,,,,,
872,20,228,,,,,,,,
860,24,236,,,,,,,,
864,8,248,,,,,,,,
873,3,244,,,,,,,,
881,5,234,,,,,,,,
894,2,224,,,,,,,,
915,0,205,,,,,,,,
933,1,186,,,,,,,,
954,0,166,,,,,,,,
948,16,156,,,,,,,,
927,24,169,,,,,,,,
907,28,185,,,,,,,,
897,25,198,,,,,,,,
883,25,212,,,,,,,,
888,13,219,,,,,,,,
898,3,219,,,,,,,,
915,0,205,,,,,,,,
926,2,192,,,,,,,,
927,4,189,,,,,,,,
920,7,193,,,,,,,,
939,0,181,,,,,,,,
952,2,166,,,,,,,,
964,0,156,,,,,,,,
973,2,145,,,,,,,,
984,0,136,,,,,,,,
990,1,129,,,,,,,,
990,7,123,,,,,,,,
960,29,131,,,,,,,,
945,25,150,,,,,,,,
907,43,170,,,,,,,,
803,118,199,,,,,,,,
760,125,235,,,,,,,,
761,87,272,,,,,,,,
773,41,306,,,,,,,,
797,13,310,,,,,,,,
818,1,301,,,,,,,,
822,3,295,,,,,,,,
828,6,286,,,,,,,,
847,3,270,,,,,,,,
865,1,254,,,,,,,,
881,1,238,,,,,,,,
898,1,221,,,,,,,,
915,0,205,,,,,,,,
925,0,195,,,,,,,,
927,6,187,,,,,,,,
927,5,188,,,,,,,,
932,9,179,,,,,,,,
909,21,190,,,,,,,,
908,13,199,,,,,,,,
934,0,186,,,,,,,,
948,0,172,,,,,,,,
952,2,166,,,,,,,,
943,13,164,,,,,,,,
894,42,184,,,,,,,,
852,58,210,,,,,,,,
849,38,233,,,,,,,,
852,20,248,,,,,,,,
827,39,254,,,,,,,,
825,31,264,,,,,,,,
818,27,275,,,,,,,,
836,7,277,,,,,,,,
854,2,264,,,,,,,,
864,2,254,,,,,,,,
880,0,240,,,,,,,,
893,4,223,,,,,,,,
890,8,222,,,,,,,,
886,10,224,,,,,,,,
896,2,222,,,,,,,,
912,0,208,,,,,,,,
929,1,190,,,,,,,,
939,2,179,,,,,,,,
946,5,169,,,,,,,,
963,2,155,,,,,,,,
963,5,152,,,,,,,,
949,15,156,,,,,,,,
897,45,178,,,,,,,,
857,69,194,,,,,,,,
832,68,220,,,,,,,,
828,46,246,,,,,,,,
853,19,248,,,,,,,,
869,2,249,,,,,,,,
882,6,232,,,,,,,,
901,0,219,,,,,,,,
922,0,198,,,,,,,,
938,0,182,,,,,,,,
917,20,183,,,,,,,,
870,51,199,,,,,,,,
837,69,214,,,,,,,,
829,54,237,,,,,,,,
812,52,256,,,,,,,,
827,22,271,,,,,,,,
853,4,263,,,,,,,,
858,2,260,,,,,,,,
870,0,250,,,,,,,,
890,0,230,,,,,,,,
905,0,215,,,,,,,,
912,2,206,,,,,,,,
926,1,193,,,,,,,,
937,1,182,,,,,,,,
947,0,173,,,,,,,,
963,0,157,,,,,,,,
975,3,142,,,,,,,,
980,1,139,,,,,,,,
990,0,130,,,,,,,,
997,3,120,,,,,,,,
955,32,133,,,,,,,,
875,84,161,,,,,,,,
799,114,207,,,,,,,,
737,129,254,,,,,,,,
749,70,301,,,,,,,,
778,14,328,,,,,,,,
801,5,314,,,,,,,,
817,2,301,,,,,,,,
839,0,281,,,,,,,,
850,2,268,,,,,,,,
866,0,254,,,,,,,,
884,0,236,,,,,,,,
894,0,226,,,,,,,,
903,2,215,,,,,,,,
910,3,207,,,,,,,,
933,0,187,,,,,,,,
939,1,180,,,,,,,,
956,0,164,,,,,,,,
955,5,160,,,,,,,,
945,16,159,,,,,,,,
923,34,163,,,,,,,,
919,27,174,,,,,,,,
916,15,189,,,,,,,,
928,8,184,,,,,,,,
918,11,191,,,,,,,,
945,1,174,,,,,,,,
957,1,162,,,,,,,,
963,0,157,,,,,,,,
971,1,148,,,,,,,,
976,2,142,,,,,,,,
973,6,141,,,,,,,,
975,15,130,,,,,,,,
913,57,150,,,,,,,,
789,134,197,,,,,,,,
730,144,246,,,,,,,,
739,91,290,,,,,,,,
767,31,322,,,,,,,,
794,4,322,,,,,,,,
809,2,309,,,,,,,,
824,1,295,,,,,,,,
836,1,283,,,,,,,,
846,0,274,,,,,,,,
856,0,264,,,,,,,,
872,1,247,,,,,,,,
880,3,237,,,,,,,,
885,5,230,,,,,,,,
895,5,220,,,,,,,,
913,0,207,,,,,,,,
930,1,189,,,,,,,,
939,2,179,,,,,,,,
938,5,177,,,,,,,,
954,0,166,,,,,,,,
959,1,160,,,,,,,,
972,1,147,,,,,,,,
980,2,138,,,,,,,,
985,5,130,,,,,,,,
921,52,147,,,,,,,,
841,110,169,,,,,,,,
754,151,215,,,,,,,,
728,135,257,,,,,,,,
745,76,299,,,,,,,,
773,28,319,,,,,,,,
807,4,309,,,,,,,,
821,2,297,,,,,,,,
842,1,277,,,,,,,,
855,1,264,,,,,,,,
868,1,251,,,,,,,,
878,0,242,,,,,,,,
880,4,236,,,,,,,,
892,0,228,,,,,,,,
895,2,223,,,,,,,,
909,0,211,,,,,,,,
923,0,197,,,,,,,,
916,10,194,,,,,,,,
925,7,188,,,,,,,,
931,2,187,,,,,,,,
911,18,191,,,,,,,,
894,26,200,,,,,,,,
854,36,230,,,,,,,,
832,29,259,,,,,,,,
823,36,261,,,,,,,,
820,25,275,,,,,,,,
836,6,278,,,,,,,,
856,0,264,,,,,,,,
870,2,248,,,,,,,,
886,2,232,,,,,,,,
903,1,216,,,,,,,,
924,1,195,,,,,,,,
940,1,179,,,,,,,,
956,0,164,,,,,,,,
965,2,153,,,,,,,,
972,4,144,,,,,,,,
930,28,162,,,,,,,,
860,58,202,,,,,,,,
837,36,247,,,,,,,,
848,8,264,,,,,,,,
852,18,250,,,,,,,,
862,15,243,,,,,,,,
867,12,241,,,,,,,,
889,0,231,,,,,,,,
901,0,219,,,,,,,,
917,0,203,,,,,,,,
929,0,191,,,,,,,,
939,0,181,,,,,,,,
953,1,166,,,,,,,,
956,7,157,,,,,,,,
951,13,156,,,,,,,,
938,17,165,,,,,,,,
905,28,187,,,,,,,,
869,45,206,,,,,,,,
862,32,226,,,,,,,,
866,13,241,,,,,,,,
871,8,241,,,,,,,,
870,9,241,,,,,,,,
869,12,239,,,,,,,,
869,5,246,,,,,,,,
890,2,228,,,,,,,,
895,0,225,,,,,,,,
904,2,214,,,,,,,,
903,7,210,,,,,,,,
921,3,196,,,,,,,,
948,0,172,,,,,,,,
965,0,155,,,,,,,,
978,0,142,,,,,,,,
976,5,139,,,,,,,,
988,0,132,,,,,,,,
992,2,126,,,,,,,,
962,26,132,,,,,,,,
893,70,157,,,,,,,,
797,124,199,,,,,,,,
763,114,243,,,,,,,,
749,93,278,,,,,,,,
781,41,298,,,,,,,,
801,13,306,,,,,,,,
827,0,293,,,,,,,,
848,0,272,,,,,,,,
860,0,260,,,,,,,,
877,0,243,,,,,,,,
892,1,227,,,,,,,,
901,2,217,,,,,,,,
898,9,213,,,,,,,,
894,15,211,,,,,,,,
871,35,214,,,,,,,,
869,31,220,,,,,,,,
876,15,229,,,,,,,,
894,3,223,,,,,,,,
910,0,210,,,,,,,,
902,12,206,,,,,,,,
914,4,202,,,,,,,,
917,7,196,,,,,,,,
912,10,198,,,,,,,,
909,13,198,,,,,,,,
906,5,209,,,,,,,,
920,4,196,,,,,,,,
924,8,188,,,,,,,,
888,37,195,,,,,,,,
836,65,219,,,,,,,,
778,84,258,,,,,,,,
791,46,283,,,,,,,,
807,20,293,,,,,,,,
828,9,283,,,,,,,,
844,3,273,,,,,,,,
854,4,262,,,,,,,,
867,0,253,,,,,,,,
875,1,244,,,,,,,,
890,0,230,,,,,,,,
905,0,215,,,,,,,,
913,1,206,,,,,,,,
925,2,193,,,,,,,,
905,19,196,,,,,,,,
899,23,198,,,,,,,,
879,29,212,,,,,,,,
878,17,225,,,,,,,,
896,2,222,,,,,,,,
911,0,209,,,,,,,,
925,0,195,,,,,,,,
934,2,184,,,,,,,,
942,4,174,,,,,,,,
937,9,174,,,,,,,,
943,5,172,,,,,,,,
957,4,159,,,,,,,,
947,11,162,,,,,,,,
944,18,158,,,,,,,,
914,37,169,,,,,,,,
861,57,202,,,,,,,,
817,65,238,,,,,,,,
821,38,261,,,,,,,,
829,18,273,,,,,,,,
859,3,258,,,,,,,,
873,1,246,,,,,,,,
884,0,236,,,,,,,,
